type;position;n;time;comps
coefficient;nowhere;26000;0.070911;1.909149
coefficient;random;26000;0.087275;1.808236
normal;beginning;27000;1.100000;26.400000
normal;middle;27000;1.160000;26.240000
normal;end;27000;1.220000;26.000000
normal;nowhere;27000;1.080000;28.000000
normal;random;27000;1.100000;26.720000
coefficient;beginning;27000;0.074725;1.793396
coefficient;middle;27000;0.078801;1.782527
coefficient;end;27000;0.082877;1.766224
coefficient;nowhere;27000;0.073366;1.902087
coefficient;random;27000;0.074725;1.815135
normal;beginning;28000;1.180000;26.520000
normal;middle;28000;1.200000;26.680000
normal;end;28000;1.080000;26.160000
normal;nowhere;28000;1.020000;28.000000
normal;random;28000;1.240000;27.320000
coefficient;beginning;28000;0.079875;1.795150
coefficient;middle;28000;0.081229;1.805980
coefficient;end;28000;0.073106;1.770781
coefficient;nowhere;28000;0.069044;1.895332
coefficient;random;28000;0.083936;1.849302
normal;beginning;29000;1.160000;26.520000
normal;middle;29000;1.160000;26.440000
normal;end;29000;1.160000;26.720000
normal;nowhere;29000;1.040000;28.000000
normal;random;29000;1.240000;26.600000
coefficient;beginning;29000;0.078253;1.789019
coefficient;middle;29000;0.078253;1.783622
coefficient;end;29000;0.078253;1.802511
coefficient;nowhere;29000;0.070158;1.888859
coefficient;random;29000;0.083649;1.794416
normal;beginning;30000;0.980000;26.960000
normal;middle;30000;0.960000;27.360000
normal;end;30000;1.000000;26.880000
normal;nowhere;30000;0.880000;28.000000
normal;random;30000;1.220000;27.280000
coefficient;beginning;30000;0.065893;1.812720
coefficient;middle;30000;0.064548;1.839615
coefficient;end;30000;0.067237;1.807341
coefficient;nowhere;30000;0.059169;1.882647
coefficient;random;30000;0.082030;1.834236
normal;beginning;31000;1.040000;26.920000
normal;middle;31000;1.640000;26.840000
normal;end;31000;0.980000;26.800000
normal;nowhere;31000;0.920000;28.000000
normal;random;31000;1.060000;26.920000
coefficient;beginning;31000;0.069705;1.804292
coefficient;middle;31000;0.109920;1.798930
coefficient;end;31000;0.065684;1.796249
coefficient;nowhere;31000;0.061662;1.876678
coefficient;random;31000;0.071046;1.804292
normal;beginning;32000;1.500000;26.880000
normal;middle;32000;1.080000;27.040000
normal;end;32000;0.880000;27.400000
normal;nowhere;32000;0.800000;28.000000
normal;random;32000;0.900000;27.360000
coefficient;beginning;32000;0.100229;1.796097
coefficient;middle;32000;0.072165;1.806788
coefficient;end;32000;0.058801;1.830843
coefficient;nowhere;32000;0.053455;1.870934
