type;n;k;comps;swaps;
insertion;60;100;1031;972;
insertion;60;100;812;753;
insertion;60;100;841;782;
insertion;60;100;901;842;
insertion;60;100;952;893;
insertion;60;100;963;904;
insertion;60;100;997;938;
insertion;60;100;1096;1037;
insertion;60;100;971;912;
insertion;60;100;951;892;
insertion;60;100;773;714;
insertion;60;100;861;802;
insertion;60;100;979;920;
insertion;60;100;829;770;
insertion;60;100;1097;1038;
insertion;60;100;840;781;
insertion;60;100;949;890;
insertion;60;100;972;913;
insertion;60;100;893;834;
insertion;60;100;768;709;
insertion;60;100;1016;957;
insertion;60;100;859;800;
insertion;60;100;926;867;
insertion;60;100;958;899;
insertion;60;100;965;906;
insertion;60;100;936;877;
insertion;60;100;948;889;
insertion;60;100;950;891;
insertion;60;100;801;742;
insertion;60;100;918;859;
insertion;60;100;893;834;
insertion;60;100;948;889;
insertion;60;100;1005;946;
insertion;60;100;1035;976;
insertion;60;100;746;687;
insertion;60;100;979;920;
insertion;60;100;983;924;
insertion;60;100;1031;972;
insertion;60;100;739;680;
insertion;60;100;968;909;
insertion;60;100;950;891;
insertion;60;100;980;921;
insertion;60;100;771;712;
insertion;60;100;982;923;
insertion;60;100;904;845;
insertion;60;100;1005;946;
insertion;60;100;929;870;
insertion;60;100;1018;959;
insertion;60;100;940;881;
insertion;60;100;960;901;
insertion;60;100;917;858;
insertion;60;100;1006;947;
insertion;60;100;852;793;
insertion;60;100;956;897;
insertion;60;100;863;804;
insertion;60;100;898;839;
insertion;60;100;883;824;
insertion;60;100;961;902;
insertion;60;100;981;922;
insertion;60;100;904;845;
insertion;60;100;1023;964;
insertion;60;100;1016;957;
insertion;60;100;944;885;
insertion;60;100;945;886;
insertion;60;100;978;919;
insertion;60;100;960;901;
insertion;60;100;906;847;
insertion;60;100;906;847;
insertion;60;100;987;928;
insertion;60;100;924;865;
insertion;60;100;1110;1051;
insertion;60;100;840;781;
insertion;60;100;887;828;
insertion;70;100;1311;1242;
insertion;70;100;1288;1219;
insertion;70;100;1226;1157;
insertion;70;100;1297;1228;
insertion;70;100;1230;1161;
insertion;70;100;1397;1328;
insertion;70;100;1184;1115;
insertion;70;100;1300;1231;
insertion;70;100;1170;1101;
insertion;70;100;1431;1362;
insertion;70;100;1109;1040;
insertion;70;100;1293;1224;
insertion;70;100;1192;1123;
insertion;70;100;1285;1216;
insertion;70;100;1156;1087;
insertion;70;100;1246;1177;
insertion;70;100;1236;1167;
insertion;70;100;1195;1126;
insertion;70;100;1240;1171;
insertion;70;100;1183;1114;
insertion;70;100;1207;1138;
insertion;70;100;1071;1002;
insertion;70;100;1232;1163;
insertion;70;100;1158;1089;
insertion;70;100;1221;1152;
insertion;70;100;1386;1317;
insertion;70;100;1107;1038;
insertion;70;100;1274;1205;
insertion;70;100;1082;1013;
insertion;70;100;1361;1292;
insertion;70;100;1341;1272;
insertion;70;100;1317;1248;
insertion;70;100;1270;1201;
insertion;70;100;1263;1194;
insertion;70;100;1425;1356;
insertion;70;100;1283;1214;
insertion;70;100;1144;1075;
insertion;70;100;1356;1287;
insertion;70;100;1367;1298;
insertion;70;100;1374;1305;
insertion;70;100;1378;1309;
insertion;70;100;1273;1204;
insertion;70;100;1273;1204;
insertion;70;100;1227;1158;
insertion;70;100;1178;1109;
insertion;70;100;1428;1359;
insertion;70;100;1328;1259;
insertion;70;100;1188;1119;
insertion;70;100;1442;1373;
insertion;70;100;1196;1127;
insertion;70;100;1162;1093;
insertion;70;100;1396;1327;
insertion;70;100;1291;1222;
insertion;70;100;1256;1187;
insertion;70;100;1110;1041;
insertion;70;100;1061;992;
insertion;70;100;1316;1247;
insertion;70;100;1405;1336;
insertion;70;100;1127;1058;
insertion;70;100;1335;1266;
insertion;70;100;1318;1249;
insertion;70;100;1193;1124;
insertion;70;100;1186;1117;
insertion;70;100;1352;1283;
insertion;70;100;1291;1222;
insertion;70;100;1193;1124;
insertion;70;100;1354;1285;
insertion;70;100;1244;1175;
insertion;70;100;1297;1228;
insertion;70;100;1337;1268;
insertion;70;100;1297;1228;
insertion;70;100;1135;1066;
insertion;70;100;1319;1250;
insertion;70;100;1222;1153;
insertion;70;100;1329;1260;
insertion;70;100;1174;1105;
insertion;70;100;1117;1048;
insertion;70;100;1295;1226;
insertion;70;100;1349;1280;
insertion;70;100;1241;1172;
insertion;70;100;1106;1037;
insertion;70;100;1443;1374;
insertion;70;100;1383;1314;
insertion;70;100;1083;1014;
insertion;70;100;1190;1121;
insertion;70;100;1341;1272;
insertion;70;100;1282;1213;
insertion;70;100;1313;1244;
insertion;70;100;1355;1286;
insertion;70;100;1380;1311;
insertion;70;100;1399;1330;
insertion;70;100;1333;1264;
insertion;70;100;1205;1136;
insertion;70;100;1169;1100;
insertion;70;100;1307;1238;
insertion;70;100;1346;1277;
insertion;70;100;1236;1167;
insertion;70;100;1248;1179;
insertion;70;100;1232;1163;
insertion;70;100;1344;1275;
insertion;80;100;1554;1475;
insertion;80;100;1462;1383;
insertion;80;100;1635;1556;
insertion;80;100;1847;1768;
insertion;80;100;1650;1571;
insertion;80;100;1731;1652;
insertion;80;100;1719;1640;
insertion;80;100;1466;1387;
insertion;80;100;1661;1582;
insertion;80;100;1617;1538;
insertion;80;100;1713;1634;
insertion;80;100;1525;1446;
insertion;80;100;1662;1583;
insertion;80;100;1712;1633;
insertion;80;100;1609;1530;
insertion;80;100;1636;1557;
insertion;80;100;1682;1603;
insertion;80;100;1571;1492;
insertion;80;100;1683;1604;
insertion;80;100;1828;1749;
insertion;80;100;1520;1441;
insertion;80;100;1706;1627;
insertion;80;100;1604;1525;
insertion;80;100;1841;1762;
insertion;80;100;1696;1617;
insertion;80;100;1722;1643;
insertion;80;100;1452;1373;
insertion;80;100;1646;1567;
insertion;80;100;1598;1519;
insertion;80;100;1855;1776;
insertion;80;100;1706;1627;
insertion;80;100;1864;1785;
insertion;80;100;1647;1568;
insertion;80;100;1576;1497;
insertion;80;100;1517;1438;
insertion;80;100;1507;1428;
insertion;80;100;1622;1543;
insertion;80;100;1404;1325;
insertion;80;100;1369;1290;
insertion;80;100;1684;1605;
insertion;80;100;1787;1708;
insertion;80;100;1587;1508;
insertion;80;100;1816;1737;
insertion;80;100;1636;1557;
insertion;80;100;1616;1537;
insertion;80;100;1678;1599;
insertion;80;100;1497;1418;
insertion;80;100;1630;1551;
insertion;80;100;1624;1545;
insertion;80;100;1834;1755;
insertion;80;100;1947;1868;
insertion;80;100;1738;1659;
insertion;80;100;1675;1596;
insertion;80;100;1333;1254;
insertion;80;100;1736;1657;
insertion;80;100;1610;1531;
insertion;80;100;1454;1375;
insertion;80;100;1654;1575;
insertion;80;100;1543;1464;
insertion;80;100;1669;1590;
insertion;80;100;1695;1616;
insertion;80;100;1493;1414;
insertion;80;100;1491;1412;
insertion;80;100;1571;1492;
insertion;80;100;1752;1673;
insertion;80;100;1516;1437;
insertion;80;100;1500;1421;
insertion;80;100;1882;1803;
