type;n;avg_comparisons;avg_swaps;
quick;950;10406.040000;5845.260000;
insertion;950;225614.440000;224665.440000;
hybrid;950;10653.020000;5597.400000;
quick;960;10549.500000;5949.880000;
insertion;960;230996.460000;230037.460000;
hybrid;960;10800.000000;5699.120000;
quick;970;10518.780000;6113.580000;
insertion;970;235437.020000;234468.020000;
hybrid;970;10754.660000;5839.760000;
quick;980;10729.700000;6083.880000;
insertion;980;239838.040000;238859.040000;
hybrid;980;10975.740000;5816.640000;
quick;990;10970.000000;6199.400000;
insertion;990;244713.360000;243724.360000;
hybrid;990;11216.400000;5934.000000;
quick;1000;11173.920000;6505.940000;
insertion;1000;250594.700000;249595.700000;
hybrid;1000;11428.260000;6243.160000;
quick;1010;11177.400000;6300.880000;
insertion;1010;255527.420000;254518.420000;
hybrid;1010;11427.100000;6023.940000;
quick;1020;11097.140000;6486.000000;
insertion;1020;260367.440000;259348.440000;
hybrid;1020;11348.400000;6200.160000;
quick;1030;11414.860000;6631.920000;
insertion;1030;267667.280000;266638.280000;
hybrid;1030;11668.360000;6346.020000;
quick;1040;11508.860000;6649.300000;
insertion;1040;271196.760000;270157.760000;
hybrid;1040;11775.860000;6375.980000;
quick;1050;11759.340000;6864.800000;
insertion;1050;275569.760000;274520.760000;
hybrid;1050;12028.660000;6584.500000;
quick;1060;11894.960000;6768.120000;
insertion;1060;281636.280000;280577.280000;
hybrid;1060;12167.880000;6484.700000;
quick;1070;11992.480000;6908.640000;
insertion;1070;287328.440000;286259.440000;
hybrid;1070;12278.820000;6633.980000;
quick;1080;11991.720000;6727.020000;
insertion;1080;293261.700000;292182.700000;
hybrid;1080;12271.900000;6446.240000;
quick;1090;12156.740000;6964.460000;
insertion;1090;297823.960000;296734.960000;
hybrid;1090;12431.940000;6669.120000;
quick;1100;12203.780000;6976.380000;
insertion;1100;302432.840000;301333.840000;
hybrid;1100;12488.180000;6682.280000;
quick;1110;12498.460000;7152.660000;
insertion;1110;309998.180000;308889.180000;
hybrid;1110;12790.780000;6873.720000;
quick;1120;12645.200000;7187.900000;
insertion;1120;313229.580000;312110.580000;
hybrid;1120;12907.720000;6867.820000;
quick;1130;12561.580000;7141.100000;
insertion;1130;318625.840000;317496.840000;
hybrid;1130;12849.700000;6840.420000;
quick;1140;12770.620000;7315.220000;
insertion;1140;325566.360000;324427.360000;
hybrid;1140;13060.520000;7020.740000;
quick;1150;12799.840000;7355.520000;
insertion;1150;331067.740000;329918.740000;
hybrid;1150;13089.520000;7046.020000;
quick;1160;13156.520000;7419.280000;
insertion;1160;337183.860000;336024.860000;
hybrid;1160;13444.860000;7104.120000;
quick;1170;13213.100000;7532.120000;
insertion;1170;343626.860000;342457.860000;
hybrid;1170;13511.060000;7227.260000;
quick;1180;13486.960000;7589.600000;
insertion;1180;347429.960000;346250.960000;
hybrid;1180;13788.460000;7277.140000;
quick;1190;13437.300000;7747.200000;
insertion;1190;356378.040000;355189.040000;
hybrid;1190;13740.580000;7429.340000;
quick;1200;13671.460000;7833.840000;
insertion;1200;359873.700000;358674.700000;
hybrid;1200;13980.620000;7516.460000;
quick;1210;13783.600000;7703.780000;
insertion;1210;366779.000000;365570.000000;
hybrid;1210;14096.360000;7389.860000;
quick;1220;13785.280000;8005.340000;
insertion;1220;371188.540000;369969.540000;
hybrid;1220;14089.220000;7672.480000;
quick;1230;13961.880000;7928.400000;
insertion;1230;380229.240000;379000.240000;
hybrid;1230;14276.720000;7604.580000;
quick;1240;14167.580000;8083.040000;
insertion;1240;383655.220000;382416.220000;
hybrid;1240;14478.460000;7749.140000;
quick;1250;14423.800000;8125.220000;
insertion;1250;392123.500000;390874.500000;
hybrid;1250;14744.500000;7797.580000;
quick;1260;14103.700000;8030.720000;
insertion;1260;397480.620000;396221.620000;
hybrid;1260;14430.320000;7704.820000;
quick;1270;14334.420000;8239.000000;
insertion;1270;404352.440000;403083.440000;
hybrid;1270;14658.680000;7900.000000;
quick;1280;14873.340000;8353.840000;
insertion;1280;410635.120000;409356.120000;
hybrid;1280;15200.940000;8010.680000;
quick;1290;14765.460000;8508.160000;
insertion;1290;415785.880000;414496.880000;
hybrid;1290;15101.200000;8175.380000;
quick;1300;15014.820000;8537.060000;
insertion;1300;424070.320000;422771.320000;
hybrid;1300;15349.300000;8192.140000;
quick;1310;15140.420000;8785.380000;
insertion;1310;429507.140000;428198.140000;
hybrid;1310;15481.620000;8445.400000;
quick;1320;15392.980000;8732.480000;
insertion;1320;437161.680000;435842.680000;
hybrid;1320;15727.960000;8382.760000;
quick;1330;15429.940000;8801.120000;
insertion;1330;442419.680000;441090.680000;
hybrid;1330;15758.460000;8444.340000;
quick;1340;15589.780000;8966.980000;
insertion;1340;448783.920000;447444.920000;
hybrid;1340;15924.340000;8607.440000;
quick;1350;15554.100000;8827.080000;
insertion;1350;459014.040000;457665.040000;
hybrid;1350;15892.640000;8463.280000;
quick;1360;15876.940000;9001.420000;
insertion;1360;464395.420000;463036.420000;
hybrid;1360;16225.500000;8635.280000;
quick;1370;16103.300000;9126.500000;
