type;data;n;time;comps;swaps
quickSortSelect;worst;5000;1135.190000;210461.000000;31136.000000
quickSort;worst;5000;96781.530000;12497500.000000;12502499.000000
quickSortSelect;random;5100;2102.410000;213820.700000;86912.810000
quickSort;random;5100;765.710000;72442.940000;40319.150000
quickSortSelect;worst;5100;1141.600000;215382.000000;31534.000000
quickSort;worst;5100;100337.760000;13002450.000000;13007549.000000
quickSortSelect;random;5200;2137.200000;218782.320000;88951.400000
quickSort;random;5200;781.280000;74527.770000;41451.390000
quickSortSelect;worst;5200;1164.950000;220614.000000;32209.000000
quickSort;worst;5200;103798.350000;13517400.000000;13522599.000000
quickSortSelect;random;5300;2221.790000;223744.930000;90732.280000
quickSort;random;5300;807.170000;75835.980000;42098.850000
quickSortSelect;worst;5300;1211.520000;225807.000000;32759.000000
quickSort;worst;5300;107943.450000;14042350.000000;14047649.000000
quickSortSelect;random;5400;2263.020000;228853.460000;92767.950000
quickSort;random;5400;815.530000;77414.400000;42814.550000
quickSortSelect;worst;5400;1217.130000;231026.000000;33788.000000
quickSort;worst;5400;111746.890000;14577300.000000;14582699.000000
quickSortSelect;random;5500;2276.820000;233526.700000;94655.420000
quickSort;random;5500;829.740000;79187.850000;43819.370000
quickSortSelect;worst;5500;1241.210000;235838.000000;34369.000000
quickSort;worst;5500;115823.420000;15122250.000000;15127749.000000
quickSortSelect;random;5600;2318.510000;238273.150000;96726.510000
quickSort;random;5600;845.220000;80703.330000;44478.750000
quickSortSelect;worst;5600;1270.130000;240778.000000;35019.000000
quickSort;worst;5600;120067.490000;15677200.000000;15682799.000000
quickSortSelect;random;5700;2360.030000;242535.910000;98707.060000
quickSort;random;5700;860.850000;82386.110000;45661.930000
quickSortSelect;worst;5700;1292.840000;246184.000000;36067.000000
quickSort;worst;5700;124213.780000;16242150.000000;16247849.000000
quickSortSelect;random;5800;2412.420000;247804.880000;100686.200000
quickSort;random;5800;878.810000;83601.860000;46119.200000
quickSortSelect;worst;5800;1329.590000;251374.000000;36617.000000
quickSort;worst;5800;128782.630000;16817100.000000;16822899.000000
quickSortSelect;random;5900;2458.360000;251955.560000;102682.340000
quickSort;random;5900;898.580000;85711.160000;47740.790000
quickSortSelect;worst;5900;1343.990000;256668.000000;37267.000000
quickSort;worst;5900;133171.370000;17402050.000000;17407949.000000
