type;position;n;time;comps
normal;nowhere;22000;0.880000;28.000000
normal;random;22000;1.280000;26.160000
coefficient;beginning;22000;0.061004;1.816264
coefficient;middle;22000;0.099825;1.763578
coefficient;end;22000;0.062391;1.821810
coefficient;nowhere;22000;0.061004;1.941045
coefficient;random;22000;0.088734;1.813491
normal;beginning;23000;0.840000;26.560000
normal;middle;23000;1.060000;26.360000
normal;end;23000;0.920000;26.280000
normal;nowhere;23000;0.960000;28.000000
normal;random;23000;1.000000;26.120000
coefficient;beginning;23000;0.057974;1.833071
coefficient;middle;23000;0.073157;1.819268
coefficient;end;23000;0.063495;1.813746
coefficient;nowhere;23000;0.066256;1.932454
coefficient;random;23000;0.069016;1.802704
normal;beginning;24000;0.780000;26.280000
normal;middle;24000;0.760000;26.000000
normal;end;24000;0.920000;26.360000
normal;nowhere;24000;0.780000;28.000000
normal;random;24000;0.960000;26.640000
coefficient;beginning;24000;0.053605;1.806093
coefficient;middle;24000;0.052231;1.786850
coefficient;end;24000;0.063227;1.811591
coefficient;nowhere;24000;0.053605;1.924300
coefficient;random;24000;0.065976;1.830834
normal;beginning;25000;0.880000;27.000000
normal;middle;25000;0.840000;26.440000
normal;end;25000;0.820000;26.680000
normal;nowhere;25000;0.800000;28.000000
normal;random;25000;1.140000;26.600000
coefficient;beginning;25000;0.060234;1.848095
coefficient;middle;25000;0.057496;1.809764
coefficient;end;25000;0.056127;1.826191
coefficient;nowhere;25000;0.054758;1.916543
coefficient;random;25000;0.078031;1.820716
normal;beginning;26000;0.880000;26.760000
normal;middle;26000;0.820000;26.200000
normal;end;26000;0.920000;26.040000
normal;nowhere;26000;0.800000;28.000000
normal;random;26000;0.940000;26.520000
coefficient;beginning;26000;0.060002;1.824601
coefficient;middle;26000;0.055911;1.786418
coefficient;end;26000;0.062729;1.775508
coefficient;nowhere;26000;0.054547;1.909149
coefficient;random;26000;0.064093;1.808236
normal;beginning;27000;0.920000;26.280000
normal;middle;27000;0.820000;26.840000
normal;end;27000;0.800000;27.000000
normal;nowhere;27000;0.860000;28.000000
normal;random;27000;0.820000;26.720000
coefficient;beginning;27000;0.062497;1.785245
coefficient;middle;27000;0.055704;1.823286
coefficient;end;27000;0.054345;1.834155
coefficient;nowhere;27000;0.058421;1.902087
coefficient;random;27000;0.055704;1.815135
normal;beginning;28000;0.820000;27.080000
normal;middle;28000;0.880000;26.680000
normal;end;28000;0.760000;27.120000
normal;nowhere;28000;0.880000;28.000000
normal;random;28000;0.920000;27.320000
coefficient;beginning;28000;0.055506;1.833057
coefficient;middle;28000;0.059568;1.805980
coefficient;end;28000;0.051445;1.835764
coefficient;nowhere;28000;0.059568;1.895332
coefficient;random;28000;0.062275;1.849302
normal;beginning;29000;0.860000;26.280000
normal;middle;29000;0.860000;26.360000
normal;end;29000;0.820000;26.760000
normal;nowhere;29000;0.780000;28.000000
normal;random;29000;0.920000;26.600000
coefficient;beginning;29000;0.058015;1.772829
coefficient;middle;29000;0.058015;1.778226
coefficient;end;29000;0.055317;1.805209
coefficient;nowhere;29000;0.052618;1.888859
coefficient;random;29000;0.062063;1.794416
normal;beginning;30000;1.360000;26.680000
normal;middle;30000;1.100000;27.200000
normal;end;30000;0.920000;26.440000
normal;nowhere;30000;0.740000;28.000000
normal;random;30000;0.900000;27.280000
coefficient;beginning;30000;0.091443;1.793894
coefficient;middle;30000;0.073961;1.828857
coefficient;end;30000;0.061858;1.777757
coefficient;nowhere;30000;0.049756;1.882647
coefficient;random;30000;0.060514;1.834236
normal;beginning;31000;1.120000;27.000000
normal;middle;31000;0.900000;27.160000
normal;end;31000;1.100000;26.840000
normal;nowhere;31000;0.860000;28.000000
normal;random;31000;1.040000;26.920000
coefficient;beginning;31000;0.075067;1.809654
coefficient;middle;31000;0.060322;1.820378
coefficient;end;31000;0.073727;1.798930
coefficient;nowhere;31000;0.057641;1.876678
coefficient;random;31000;0.069705;1.804292
normal;beginning;32000;0.820000;27.680000
normal;middle;32000;0.880000;26.800000
normal;end;32000;0.880000;27.200000
normal;nowhere;32000;0.800000;28.000000
normal;random;32000;0.960000;27.360000
coefficient;beginning;32000;0.054792;1.849552
coefficient;middle;32000;0.058801;1.790751
coefficient;end;32000;0.058801;1.817479
coefficient;nowhere;32000;0.053455;1.870934
coefficient;random;32000;0.064146;1.828170
normal;beginning;33000;0.880000;27.280000
normal;middle;33000;0.800000;27.000000
normal;end;33000;0.880000;26.880000
normal;nowhere;33000;0.780000;30.000000
normal;random;33000;0.880000;27.280000
coefficient;beginning;33000;0.058627;1.817433
coefficient;middle;33000;0.053297;1.798779
coefficient;end;33000;0.058627;1.790785
coefficient;nowhere;33000;0.051965;1.998644
coefficient;random;33000;0.058627;1.817433
normal;beginning;34000;0.860000;27.720000
normal;middle;34000;1.080000;27.240000
normal;end;34000;0.880000;27.120000
normal;nowhere;34000;0.820000;30.000000
normal;random;34000;1.280000;27.320000
coefficient;beginning;34000;0.057131;1.841463
coefficient;middle;34000;0.071745;1.809576
