type;n;m;comps;swaps
randomSelect;2400;993;8060;3257
select;2400;993;21073;8732
randomSelect;2400;993;4933;2748
select;2400;993;19742;8104
randomSelect;2400;993;5106;1771
select;2400;993;19409;8328
randomSelect;2400;993;6570;3070
select;2400;993;17730;7864
randomSelect;2400;993;8280;2755
select;2400;993;19677;8025
randomSelect;2400;993;6486;2517
select;2400;993;18448;8196
randomSelect;2400;993;11630;3192
select;2400;993;18510;8843
randomSelect;2400;993;5347;2394
select;2400;993;20447;8261
randomSelect;2400;993;4318;2074
select;2400;993;19573;7917
randomSelect;2400;993;7260;2048
select;2400;993;18528;8166
randomSelect;2400;993;11646;9292
select;2400;993;19437;8342
randomSelect;2400;993;5972;4128
select;2400;993;18246;7657
randomSelect;2400;993;6212;2984
select;2400;993;18783;7849
randomSelect;2400;993;8098;4713
select;2400;993;18871;8215
randomSelect;2400;993;9828;3453
select;2400;993;18316;8385
randomSelect;2400;993;5682;1735
select;2400;993;20396;9147
randomSelect;2400;993;12468;5784
select;2400;993;18982;8222
randomSelect;2400;993;6606;2856
select;2400;993;19775;8115
randomSelect;2400;993;6872;3185
select;2400;993;18468;8086
randomSelect;2400;993;7622;4905
select;2400;993;18803;8448
randomSelect;2500;751;5038;1272
select;2500;751;19485;8372
randomSelect;2500;751;5897;1697
select;2500;751;17721;8241
randomSelect;2500;751;8157;3793
select;2500;751;20334;9243
randomSelect;2500;751;11708;4679
select;2500;751;19029;8540
randomSelect;2500;751;12173;5500
select;2500;751;20093;8567
randomSelect;2500;751;3594;1517
select;2500;751;21007;8921
randomSelect;2500;751;4516;1970
select;2500;751;21533;8821
randomSelect;2500;751;5324;1719
select;2500;751;18588;8353
randomSelect;2500;751;4560;1926
select;2500;751;21316;8778
randomSelect;2500;751;6899;4323
select;2500;751;21144;8764
randomSelect;2500;751;5886;3614
select;2500;751;21122;8599
randomSelect;2500;751;5361;1708
select;2500;751;20881;8300
randomSelect;2500;751;4820;967
select;2500;751;19990;8250
randomSelect;2500;751;6256;2606
select;2500;751;19664;8600
randomSelect;2500;751;8258;2977
select;2500;751;20682;8545
randomSelect;2500;751;6044;3488
select;2500;751;20269;8454
randomSelect;2500;751;6540;3679
select;2500;751;18830;7838
randomSelect;2500;751;10039;4829
select;2500;751;19095;8694
randomSelect;2500;751;4166;1791
select;2500;751;21159;9184
randomSelect;2500;751;7696;3329
select;2500;751;20894;8928
randomSelect;2500;751;5165;2883
select;2500;751;18717;8622
randomSelect;2500;751;10388;5043
select;2500;751;18589;8527
randomSelect;2500;751;13156;4670
select;2500;751;19006;8186
randomSelect;2500;751;4320;2102
select;2500;751;20584;8488
randomSelect;2500;751;7389;3335
select;2500;751;22326;8723
randomSelect;2500;751;4925;1602
select;2500;751;19601;8132
randomSelect;2500;751;6906;4110
select;2500;751;18402;8378
randomSelect;2500;751;13140;8762
select;2500;751;18333;8282
randomSelect;2500;751;8959;5575
select;2500;751;20328;8471
randomSelect;2500;751;6797;2891
select;2500;751;18163;8118
randomSelect;2500;751;11952;5870
select;2500;751;19484;8578
randomSelect;2500;751;12755;7521
select;2500;751;19974;8383
randomSelect;2500;751;6371;2823
select;2500;751;19467;8245
randomSelect;2500;751;6622;2976
select;2500;751;21105;9000
randomSelect;2500;751;10774;5297
select;2500;751;19318;8512
randomSelect;2500;751;12715;8310
select;2500;751;20247;8926
randomSelect;2500;751;8244;5203
select;2500;751;20883;8282
randomSelect;2500;751;5368;1612
select;2500;751;18918;8378
randomSelect;2500;751;10155;6892
select;2500;751;19728;8407
randomSelect;2500;751;7570;3594
select;2500;751;20596;9073
randomSelect;2500;751;6064;4163
select;2500;751;22294;8715
randomSelect;2500;751;6944;3988
select;2500;751;18709;8703
randomSelect;2500;751;8646;4155
select;2500;751;20827;8705
randomSelect;2500;751;10995;6365
select;2500;751;19676;8122
randomSelect;2500;751;6958;3433
select;2500;751;20632;8648
randomSelect;2500;751;7746;2434
select;2500;751;19457;8230
randomSelect;2500;751;5318;1797
select;2500;751;20541;9076
randomSelect;2500;751;11063;6373
select;2500;751;23351;9666
randomSelect;2500;751;4202;1966
select;2500;751;18764;8637
randomSelect;2500;751;3977;1833
select;2500;751;18567;8313
randomSelect;2500;751;9586;5715
select;2500;751;21654;9249
randomSelect;2500;751;9829;4238
select;2500;751;21701;9123
randomSelect;2500;751;6839;4424
select;2500;751;21768;8850
randomSelect;2500;751;5402;3491
select;2500;751;20805;8755
randomSelect;2500;751;12738;8285
select;2500;751;20443;8742
randomSelect;2500;751;7686;3884
select;2500;751;20270;8791
randomSelect;2500;751;7160;2587
select;2500;751;21819;9537
randomSelect;2500;751;8359;4505
select;2500;751;20108;8659
randomSelect;2500;751;6992;3183
select;2500;751;19117;8624
randomSelect;2500;751;5246;2768
select;2500;751;19597;8433
randomSelect;2500;751;9044;5179
select;2500;751;18967;7815
randomSelect;2500;751;8796;6312
select;2500;751;19042;8482
randomSelect;2500;751;5110;2183
select;2500;751;17862;8225
randomSelect;2500;751;10627;5421
select;2500;751;19560;8598
randomSelect;2500;751;5180;2668
select;2500;751;21670;8787
randomSelect;2500;751;12941;8506
select;2500;751;18276;8085
randomSelect;2500;751;9984;2981
select;2500;751;18416;8161
randomSelect;2500;751;9019;4216
select;2500;751;19561;8114
randomSelect;2500;751;8313;2425
select;2500;751;19117;8150
randomSelect;2500;751;9060;3899
select;2500;751;19702;8423
randomSelect;2500;751;8631;4116
select;2500;751;20299;9022
randomSelect;2500;751;12038;4920
select;2500;751;20573;9008
randomSelect;2500;751;5338;2294
select;2500;751;19841;8823
randomSelect;2500;751;6422;2958
select;2500;751;19702;8449
randomSelect;2500;751;15083;6414
select;2500;751;20863;9414
randomSelect;2500;751;5892;1868
select;2500;751;18134;8112
randomSelect;2500;751;5258;1718
select;2500;751;20085;8883
randomSelect;2500;751;11444;6919
select;2500;751;20305;8483
randomSelect;2500;751;5852;4015
select;2500;751;19257;8317
randomSelect;2500;751;6572;2354
select;2500;751;21047;8762
randomSelect;2500;751;7018;4417
select;2500;751;18756;8266
randomSelect;2500;751;6610;3810
select;2500;751;20561;8374
randomSelect;2500;751;7346;3026
select;2500;751;21320;9054
randomSelect;2500;751;11627;6952
select;2500;751;18798;8647
randomSelect;2500;751;8507;2994
select;2500;751;19516;8442
randomSelect;2500;751;5201;1564
select;2500;751;21194;8645
randomSelect;2500;751;5616;3197
select;2500;751;21363;8956
randomSelect;2500;751;7426;3980
select;2500;751;19128;8346
randomSelect;2500;751;9695;5041
select;2500;751;22799;9133
randomSelect;2500;751;10512;6966
select;2500;751;20393;8415
randomSelect;2500;751;7919;3408
select;2500;751;19682;8513
randomSelect;2500;751;5111;2176
select;2500;751;21180;8407
randomSelect;2500;751;8149;4587
select;2500;751;18972;8612
randomSelect;2500;751;3971;1653
select;2500;751;19653;9097
randomSelect;2500;751;8605;4577
select;2500;751;22058;9260
randomSelect;2500;751;5452;2235
select;2500;751;22098;8760
randomSelect;2500;751;5965;3718
select;2500;751;19852;8488
randomSelect;2500;751;7431;4873
select;2500;751;22601;9418
randomSelect;2500;751;9583;4811
select;2500;751;19044;8695
randomSelect;2500;751;6086;3506
select;2500;751;19302;8416
randomSelect;2600;1387;6276;2918
select;2600;1387;22624;9443
randomSelect;2600;1387;4245;1753
select;2600;1387;19204;9115
randomSelect;2600;1387;9342;4875
select;2600;1387;23760;10185
randomSelect;2600;1387;9047;5527
select;2600;1387;20680;8712
randomSelect;2600;1387;8741;3621
select;2600;1387;23032;9112
randomSelect;2600;1387;6180;3408
select;2600;1387;19503;8546
randomSelect;2600;1387;5475;3377
select;2600;1387;21903;8993
randomSelect;2600;1387;8044;5628
select;2600;1387;20765;9129
randomSelect;2600;1387;5999;2336
select;2600;1387;19985;8775
randomSelect;2600;1387;11323;4512
select;2600;1387;20162;9110
randomSelect;2600;1387;7462;3959
select;2600;1387;21213;8808
randomSelect;2600;1387;9971;4651
select;2600;1387;21396;9380
randomSelect;2600;1387;4754;2945
select;2600;1387;21337;8967
randomSelect;2600;1387;8452;5925
select;2600;1387;21157;8892
randomSelect;2600;1387;9093;4779
select;2600;1387;20170;8458
randomSelect;2600;1387;9224;5481
select;2600;1387;21285;8567
randomSelect;2600;1387;10092;7880
select;2600;1387;21672;9478
randomSelect;2600;1387;5945;3876
select;2600;1387;22897;9674
randomSelect;2600;1387;6573;5093
select;2600;1387;22109;9674
randomSelect;2600;1387;9391;3895
select;2600;1387;22398;9241
randomSelect;2600;1387;6934;4809
select;2600;1387;22627;9259
randomSelect;2600;1387;5764;2497
select;2600;1387;21913;9621
randomSelect;2600;1387;5490;2758
select;2600;1387;21452;9373
randomSelect;2600;1387;8517;5374
select;2600;1387;21924;9423
randomSelect;2600;1387;9981;4754
select;2600;1387;21098;9242
randomSelect;2600;1387;11007;3908
select;2600;1387;22127;9378
randomSelect;2600;1387;13657;7155
select;2600;1387;19786;9133
randomSelect;2600;1387;8704;4190
select;2600;1387;21944;8879
randomSelect;2600;1387;5997;1732
select;2600;1387;20107;9283
randomSelect;2600;1387;8269;6059
select;2600;1387;21323;8449
randomSelect;2600;1387;9827;6623
select;2600;1387;20765;8818
randomSelect;2600;1387;6717;3202
select;2600;1387;21851;8737
randomSelect;2600;1387;8944;6073
select;2600;1387;20999;8634
randomSelect;2600;1387;5086;3273
select;2600;1387;20608;9061
randomSelect;2600;1387;7743;4148
select;2600;1387;21766;8536
randomSelect;2600;1387;5480;3017
select;2600;1387;19200;8468
randomSelect;2600;1387;11387;4314
select;2600;1387;21225;8836
randomSelect;2600;1387;5371;2896
select;2600;1387;21154;8818
randomSelect;2600;1387;11733;5819
select;2600;1387;19929;9347
randomSelect;2600;1387;10241;4436
select;2600;1387;21182;9003
randomSelect;2600;1387;8474;2814
select;2600;1387;22777;8873
randomSelect;2600;1387;8948;2850
select;2600;1387;21294;8313
randomSelect;2600;1387;11376;2968
select;2600;1387;20392;8648
randomSelect;2600;1387;11124;6225
select;2600;1387;21583;9203
randomSelect;2600;1387;9341;6253
select;2600;1387;21364;8482
randomSelect;2600;1387;10642;3638
select;2600;1387;21820;9535
randomSelect;2600;1387;7782;2751
select;2600;1387;20389;8851
randomSelect;2600;1387;7905;3266
select;2600;1387;20594;9575
randomSelect;2600;1387;5494;2698
select;2600;1387;18498;8479
randomSelect;2600;1387;7393;3807
select;2600;1387;21839;8851
randomSelect;2600;1387;14009;7676
select;2600;1387;20692;9107
randomSelect;2600;1387;13678;6766
select;2600;1387;21270;9533
randomSelect;2600;1387;10323;6062
select;2600;1387;19914;8866
randomSelect;2600;1387;8894;3939
select;2600;1387;21373;9204
randomSelect;2600;1387;7929;1620
select;2600;1387;22737;9410
randomSelect;2600;1387;6136;2769
select;2600;1387;20558;9045
randomSelect;2600;1387;6376;1611
select;2600;1387;20743;9194
randomSelect;2600;1387;8092;4466
select;2600;1387;21849;9336
randomSelect;2600;1387;6023;2916
select;2600;1387;21050;8984
randomSelect;2600;1387;4855;2947
select;2600;1387;20028;8901
randomSelect;2600;1387;7916;5071
select;2600;1387;20017;8357
randomSelect;2600;1387;7701;3824
select;2600;1387;21805;9623
randomSelect;2600;1387;4715;3168
select;2600;1387;22101;9277
randomSelect;2600;1387;10360;3438
select;2600;1387;21340;8998
randomSelect;2600;1387;11298;5558
select;2600;1387;20661;8960
randomSelect;2600;1387;8419;4600
select;2600;1387;19614;8736
randomSelect;2600;1387;8753;4499
select;2600;1387;20210;8966
randomSelect;2600;1387;10353;5451
select;2600;1387;22598;8923
randomSelect;2600;1387;10010;6022
select;2600;1387;19264;9082
randomSelect;2600;1387;4991;2328
select;2600;1387;23772;9527
randomSelect;2600;1387;11065;5451
select;2600;1387;19293;8623
randomSelect;2600;1387;8854;3830
select;2600;1387;19486;8690
randomSelect;2600;1387;7672;3870
select;2600;1387;20730;8467
randomSelect;2600;1387;6121;2293
select;2600;1387;19588;8554
randomSelect;2600;1387;6844;2075
select;2600;1387;20479;8608
randomSelect;2600;1387;7315;3318
select;2600;1387;20436;8450
randomSelect;2600;1387;8286;4921
select;2600;1387;21677;9708
randomSelect;2600;1387;5746;3102
select;2600;1387;20244;9313
randomSelect;2600;1387;12263;6727
select;2600;1387;20449;8393
randomSelect;2600;1387;8135;3966
select;2600;1387;21575;9198
randomSelect;2600;1387;15424;6502
select;2600;1387;21094;9555
randomSelect;2600;1387;6350;3824
select;2600;1387;19461;8635
randomSelect;2600;1387;6642;1795
select;2600;1387;21448;8774
randomSelect;2600;1387;9493;4423
select;2600;1387;19819;9067
randomSelect;2600;1387;9455;5708
select;2600;1387;22354;9316
randomSelect;2600;1387;12281;6099
select;2600;1387;22326;9688
randomSelect;2600;1387;7857;4643
select;2600;1387;21811;9529
randomSelect;2600;1387;12171;3863
select;2600;1387;21493;9113
randomSelect;2600;1387;5986;2925
select;2600;1387;21436;9143
randomSelect;2600;1387;5905;2237
select;2600;1387;23435;9410
randomSelect;2600;1387;10245;6827
select;2600;1387;20946;8542
randomSelect;2600;1387;5304;2781
select;2600;1387;20754;9368
randomSelect;2600;1387;12346;10591
select;2600;1387;23305;9502
randomSelect;2600;1387;8748;3971
select;2600;1387;20323;8812
randomSelect;2600;1387;8677;3658
select;2600;1387;21801;9943
randomSelect;2600;1387;8863;2665
select;2600;1387;19364;8415
randomSelect;2600;1387;9139;3251
select;2600;1387;22080;8524
randomSelect;2600;1387;7649;4075
select;2600;1387;21130;9098
randomSelect;2600;1387;11326;5540
select;2600;1387;22234;8972
randomSelect;2600;1387;6404;3077
select;2600;1387;21420;9244
randomSelect;2700;294;4350;1595
select;2700;294;21966;9225
randomSelect;2700;294;5024;1718
select;2700;294;21760;9537
randomSelect;2700;294;7831;5007
select;2700;294;23080;9227
randomSelect;2700;294;6193;1023
select;2700;294;19903;8929
randomSelect;2700;294;7452;4504
select;2700;294;21682;9669
randomSelect;2700;294;7871;4623
select;2700;294;22446;9224
randomSelect;2700;294;6657;3359
select;2700;294;21455;9070
randomSelect;2700;294;10358;5855
select;2700;294;24637;9405
randomSelect;2700;294;6663;1642
select;2700;294;23238;9171
randomSelect;2700;294;6692;4105
select;2700;294;22523;9639
randomSelect;2700;294;6194;3237
select;2700;294;21403;9590
randomSelect;2700;294;8161;5473
select;2700;294;24463;10199
randomSelect;2700;294;6569;3414
select;2700;294;20333;9254
randomSelect;2700;294;5069;2433
select;2700;294;21225;9241
randomSelect;2700;294;8791;5896
select;2700;294;23874;9828
randomSelect;2700;294;9165;3623
select;2700;294;24142;9597
randomSelect;2700;294;8976;5763
select;2700;294;24233;9389
randomSelect;2700;294;3208;689
select;2700;294;23606;9785
randomSelect;2700;294;5511;2217
select;2700;294;21586;8885
randomSelect;2700;294;14305;7051
select;2700;294;20956;9342
randomSelect;2700;294;9434;5113
select;2700;294;21426;9358
randomSelect;2700;294;11456;7108
select;2700;294;24462;10067
randomSelect;2700;294;4428;1300
select;2700;294;22706;9453
randomSelect;2700;294;6095;3161
select;2700;294;21814;9037
randomSelect;2700;294;5831;785
select;2700;294;21636;9546
randomSelect;2700;294;6808;3457
select;2700;294;21681;9125
randomSelect;2700;294;8714;5871
select;2700;294;20360;9343
randomSelect;2700;294;5346;1666
select;2700;294;21994;9528
randomSelect;2700;294;4976;2124
select;2700;294;20896;8725
randomSelect;2700;294;10847;3808
select;2700;294;21920;9407
randomSelect;2700;294;7083;3980
select;2700;294;21056;9127
randomSelect;2700;294;8332;4891
select;2700;294;22221;10244
randomSelect;2700;294;5496;2736
select;2700;294;22720;9746
randomSelect;2700;294;4598;1283
select;2700;294;25168;10771
randomSelect;2700;294;7341;4129
select;2700;294;22928;9577
randomSelect;2700;294;11829;8972
select;2700;294;20559;8604
randomSelect;2700;294;12889;10069
select;2700;294;21935;9222
randomSelect;2700;294;4712;1823
select;2700;294;21144;9233
randomSelect;2700;294;9277;4199
select;2700;294;22916;9768
randomSelect;2700;294;5119;2672
select;2700;294;22148;9681
randomSelect;2700;294;3193;749
select;2700;294;22205;9703
randomSelect;2700;294;3552;781
select;2700;294;20140;9031
randomSelect;2700;294;13212;7619
select;2700;294;22096;9325
randomSelect;2700;294;4346;1147
select;2700;294;20806;9355
randomSelect;2700;294;6780;3696
select;2700;294;21373;9634
randomSelect;2700;294;5447;2413
select;2700;294;21488;9350
randomSelect;2700;294;8451;5856
select;2700;294;21934;9455
randomSelect;2700;294;8428;5203
select;2700;294;21711;9688
randomSelect;2700;294;7258;3740
select;2700;294;20386;9219
randomSelect;2700;294;4820;1711
select;2700;294;21721;9260
randomSelect;2700;294;4412;1513
select;2700;294;23189;9669
randomSelect;2700;294;7071;1677
select;2700;294;20649;9422
randomSelect;2700;294;10795;4856
select;2700;294;22026;9192
randomSelect;2700;294;10438;7338
select;2700;294;22984;9882
randomSelect;2700;294;9290;3203
select;2700;294;21217;9419
randomSelect;2700;294;6466;1013
select;2700;294;21628;9011
randomSelect;2700;294;11063;6174
select;2700;294;21556;9266
randomSelect;2700;294;6436;3821
select;2700;294;21916;9162
randomSelect;2700;294;5644;2568
select;2700;294;23065;9712
randomSelect;2700;294;7826;4146
select;2700;294;22247;9267
randomSelect;2700;294;7749;4861
select;2700;294;21019;9201
randomSelect;2700;294;7341;3854
select;2700;294;23549;9494
randomSelect;2700;294;6856;4012
select;2700;294;19723;9188
randomSelect;2700;294;9148;3717
select;2700;294;22612;9538
randomSelect;2700;294;5127;2553
select;2700;294;21315;9104
randomSelect;2700;294;8649;3699
select;2700;294;23316;9853
randomSelect;2700;294;8285;5457
select;2700;294;21389;9109
randomSelect;2700;294;4639;2019
select;2700;294;22130;9308
randomSelect;2700;294;7101;3913
select;2700;294;24283;9661
randomSelect;2700;294;8410;4677
select;2700;294;23267;10252
randomSelect;2700;294;3429;669
select;2700;294;22064;8773
randomSelect;2700;294;4155;1006
select;2700;294;22661;9393
randomSelect;2700;294;10809;8300
select;2700;294;23286;9618
randomSelect;2700;294;6746;3697
select;2700;294;22801;9507
randomSelect;2700;294;6025;2290
select;2700;294;23613;9735
randomSelect;2700;294;4372;1014
select;2700;294;23469;9456
randomSelect;2700;294;4978;2055
select;2700;294;19473;8719
randomSelect;2700;294;9862;7118
select;2700;294;22620;9836
randomSelect;2700;294;5619;2530
select;2700;294;21838;9825
randomSelect;2700;294;6003;2491
select;2700;294;23118;9333
randomSelect;2700;294;5462;2409
select;2700;294;20888;9189
randomSelect;2700;294;6443;3042
select;2700;294;21226;9173
randomSelect;2700;294;7921;4915
select;2700;294;20626;9028
randomSelect;2700;294;7821;3208
select;2700;294;21797;9183
randomSelect;2700;294;3803;1112
select;2700;294;21822;9222
randomSelect;2700;294;8577;1182
select;2700;294;23781;9869
randomSelect;2700;294;12101;4078
select;2700;294;20702;9196
randomSelect;2700;294;9787;4352
select;2700;294;22780;9486
randomSelect;2700;294;7813;3733
select;2700;294;20064;9144
randomSelect;2700;294;10265;5414
select;2700;294;25760;10220
randomSelect;2700;294;7556;4086
select;2700;294;25359;10548
randomSelect;2700;294;3508;1057
select;2700;294;20294;9115
randomSelect;2700;294;9215;3879
select;2700;294;22370;9260
randomSelect;2700;294;13776;9786
select;2700;294;24274;9871
randomSelect;2700;294;4989;2184
select;2700;294;22783;9615
randomSelect;2700;294;8903;4611
select;2700;294;21259;9080
randomSelect;2700;294;5642;2125
select;2700;294;23157;9544
randomSelect;2700;294;3662;901
select;2700;294;21221;9325
randomSelect;2700;294;4446;1928
select;2700;294;23600;9478
randomSelect;2700;294;7680;2389
select;2700;294;22993;9628
randomSelect;2800;62;8161;5385
select;2800;62;23094;9673
randomSelect;2800;62;4027;1265
select;2800;62;24086;9902
randomSelect;2800;62;3336;440
select;2800;62;23202;9924
randomSelect;2800;62;8538;5754
select;2800;62;21909;9832
randomSelect;2800;62;6159;3369
select;2800;62;25103;11081
randomSelect;2800;62;7317;4420
select;2800;62;24621;9880
randomSelect;2800;62;8219;5292
select;2800;62;23231;9751
randomSelect;2800;62;9515;6414
select;2800;62;21042;9507
randomSelect;2800;62;5500;2773
select;2800;62;22441;9634
randomSelect;2800;62;8122;3947
select;2800;62;23974;10218
randomSelect;2800;62;3315;583
select;2800;62;23648;11129
randomSelect;2800;62;4743;1860
select;2800;62;23323;9583
randomSelect;2800;62;5925;3140
select;2800;62;24237;9995
randomSelect;2800;62;12014;9238
select;2800;62;23794;10052
randomSelect;2800;62;5029;2201
select;2800;62;24200;9866
randomSelect;2800;62;10895;8011
select;2800;62;23166;10013
randomSelect;2800;62;5574;2845
select;2800;62;25743;10119
randomSelect;2800;62;8471;5432
select;2800;62;25679;11882
randomSelect;2800;62;9949;5999
select;2800;62;22773;9502
randomSelect;2800;62;3935;1097
select;2800;62;24056;9920
randomSelect;2800;62;5313;2577
select;2800;62;21518;9340
randomSelect;2800;62;4265;1526
select;2800;62;23412;9968
randomSelect;2800;62;5694;2951
select;2800;62;22216;9095
randomSelect;2800;62;5863;3084
select;2800;62;22440;9648
randomSelect;2800;62;6749;3782
select;2800;62;24520;9928
randomSelect;2800;62;4278;1457
select;2800;62;23624;9822
randomSelect;2800;62;11967;6619
select;2800;62;26020;10840
randomSelect;2800;62;5688;189
select;2800;62;22834;9971
randomSelect;2800;62;5201;2397
select;2800;62;21381;9435
randomSelect;2800;62;3433;686
select;2800;62;21939;9694
randomSelect;2800;62;4236;1311
select;2800;62;23237;9848
randomSelect;2800;62;7350;3833
select;2800;62;22879;9753
randomSelect;2800;62;5093;2269
select;2800;62;22012;9509
randomSelect;2800;62;13199;9973
select;2800;62;21858;9608
randomSelect;2800;62;4068;911
select;2800;62;22567;9892
randomSelect;2800;62;6618;3475
select;2800;62;23039;9852
randomSelect;2800;62;9366;4530
select;2800;62;23017;9869
randomSelect;2800;62;7750;4863
select;2800;62;27035;11069
randomSelect;2800;62;6103;2328
select;2800;62;20998;9195
randomSelect;2800;62;6683;3885
select;2800;62;21649;9717
randomSelect;2800;62;6143;3040
select;2800;62;21094;9457
randomSelect;2800;62;6474;3291
select;2800;62;21138;9339
randomSelect;2800;62;13918;10995
select;2800;62;22621;9702
randomSelect;2800;62;6039;2952
select;2800;62;24714;10290
randomSelect;2800;62;5267;2492
select;2800;62;22980;9704
randomSelect;2800;62;5208;1885
select;2800;62;24899;9730
randomSelect;2800;62;3763;978
select;2800;62;22324;9687
randomSelect;2800;62;2940;172
select;2800;62;24598;10592
randomSelect;2800;62;8953;5870
select;2800;62;23472;9746
randomSelect;2800;62;3600;815
select;2800;62;21928;9405
randomSelect;2800;62;9602;6547
select;2800;62;24554;10057
randomSelect;2800;62;3367;483
select;2800;62;21786;9939
randomSelect;2800;62;5530;2800
select;2800;62;22729;9988
randomSelect;2800;62;6613;3821
select;2800;62;21305;9366
randomSelect;2800;62;3392;474
select;2800;62;24773;10483
randomSelect;2800;62;3627;843
select;2800;62;24167;9855
randomSelect;2800;62;5846;3047
select;2800;62;23511;10323
randomSelect;2800;62;9756;6331
select;2800;62;24269;10994
randomSelect;2800;62;7797;4930
select;2800;62;21152;9095
randomSelect;2800;62;5045;2091
select;2800;62;23406;9695
randomSelect;2800;62;5251;2140
select;2800;62;21303;9793
randomSelect;2800;62;5717;2750
select;2800;62;23799;9974
randomSelect;2800;62;8981;6087
select;2800;62;23475;9705
randomSelect;2800;62;3637;676
select;2800;62;22545;9681
randomSelect;2800;62;3750;877
select;2800;62;21939;9735
randomSelect;2800;62;3977;1149
select;2800;62;22321;9898
randomSelect;2800;62;5746;2947
select;2800;62;22776;9599
randomSelect;2800;62;5505;2451
select;2800;62;22328;9432
randomSelect;2800;62;4554;1619
select;2800;62;24471;10081
randomSelect;2800;62;8405;2937
select;2800;62;22159;9593
randomSelect;2800;62;5760;2439
select;2800;62;24657;10029
randomSelect;2800;62;8396;5644
select;2800;62;25985;10233
randomSelect;2800;62;10454;4783
select;2800;62;22402;9743
randomSelect;2800;62;7988;4803
select;2800;62;23750;10586
randomSelect;2800;62;4612;1369
select;2800;62;23483;9915
randomSelect;2800;62;8743;5187
select;2800;62;22233;9861
randomSelect;2800;62;6801;3569
select;2800;62;23507;9124
randomSelect;2800;62;6742;3979
select;2800;62;23509;9975
randomSelect;2800;62;4436;1184
select;2800;62;22954;10155
randomSelect;2800;62;7415;4631
select;2800;62;21962;9694
randomSelect;2800;62;3908;871
select;2800;62;22413;9297
randomSelect;2800;62;4885;1797
select;2800;62;24829;10022
randomSelect;2800;62;6664;3705
select;2800;62;22736;9550
randomSelect;2800;62;8828;5945
select;2800;62;22487;9947
randomSelect;2800;62;3401;617
select;2800;62;24214;10181
randomSelect;2800;62;6740;3916
select;2800;62;22262;9592
randomSelect;2800;62;5542;2613
select;2800;62;21733;9450
randomSelect;2800;62;4023;1036
select;2800;62;28240;12053
randomSelect;2800;62;7891;4987
select;2800;62;20884;8840
randomSelect;2800;62;8069;5291
select;2800;62;23063;10075
randomSelect;2800;62;5572;2800
select;2800;62;22619;9556
randomSelect;2800;62;4073;983
select;2800;62;22512;9671
randomSelect;2800;62;3563;631
select;2800;62;21210;9445
randomSelect;2800;62;4101;1377
select;2800;62;23471;9608
randomSelect;2800;62;5413;1910
select;2800;62;23578;9655
randomSelect;2800;62;4306;1514
select;2800;62;25023;9747
randomSelect;2800;62;2944;131
select;2800;62;22045;9706
randomSelect;2800;62;6839;4083
select;2800;62;22435;9714
randomSelect;2800;62;5313;2562
select;2800;62;24581;10176
randomSelect;2800;62;3785;784
select;2800;62;22994;9259
randomSelect;2900;555;7765;5198
select;2900;555;23390;9001
randomSelect;2900;555;6620;1934
select;2900;555;24663;10816
randomSelect;2900;555;17077;8819
select;2900;555;21862;10039
randomSelect;2900;555;9965;5253
select;2900;555;24636;10098
randomSelect;2900;555;11203;6834
select;2900;555;22591;9889
randomSelect;2900;555;7788;3637
select;2900;555;21290;9928
randomSelect;2900;555;5298;1998
select;2900;555;23561;9678
randomSelect;2900;555;5596;1699
select;2900;555;21658;9451
randomSelect;2900;555;12858;4796
select;2900;555;23932;9647
randomSelect;2900;555;6939;4296
select;2900;555;22197;9600
randomSelect;2900;555;5623;2316
select;2900;555;22044;9760
randomSelect;2900;555;10192;6336
select;2900;555;22178;9797
randomSelect;2900;555;9292;6255
select;2900;555;20900;9575
randomSelect;2900;555;7569;2858
select;2900;555;24583;9769
randomSelect;2900;555;6615;3427
select;2900;555;24755;11089
randomSelect;2900;555;14048;6564
select;2900;555;23952;9705
randomSelect;2900;555;13722;10288
select;2900;555;27159;11392
randomSelect;2900;555;7281;2482
select;2900;555;24915;9568
randomSelect;2900;555;5828;1853
select;2900;555;25760;10987
randomSelect;2900;555;4667;2237
select;2900;555;22545;9989
randomSelect;2900;555;8026;2921
select;2900;555;23400;9661
randomSelect;2900;555;12044;6889
select;2900;555;21470;9657
randomSelect;2900;555;11194;6176
select;2900;555;25404;10835
randomSelect;2900;555;9222;5962
select;2900;555;21458;9497
randomSelect;2900;555;10463;7525
select;2900;555;23248;9606
randomSelect;2900;555;8802;3731
select;2900;555;22207;10020
randomSelect;2900;555;10874;7326
select;2900;555;22810;9790
randomSelect;2900;555;6993;3904
select;2900;555;21931;9532
randomSelect;2900;555;11892;7281
select;2900;555;22907;9567
randomSelect;2900;555;5689;2250
select;2900;555;23378;9716
randomSelect;2900;555;7684;4019
select;2900;555;22886;9614
randomSelect;2900;555;7795;2736
select;2900;555;22088;9404
randomSelect;2900;555;13323;5172
select;2900;555;20955;9183
randomSelect;2900;555;7643;3717
select;2900;555;23296;9798
randomSelect;2900;555;13088;8159
select;2900;555;22875;9951
randomSelect;2900;555;8367;4258
select;2900;555;22200;9671
randomSelect;2900;555;10116;5903
select;2900;555;25838;10865
randomSelect;2900;555;5633;2326
select;2900;555;21854;9590
randomSelect;2900;555;10853;6132
select;2900;555;24551;10078
randomSelect;2900;555;8149;5334
select;2900;555;20811;9550
