type;n;comps;swaps;time
quickselect;9100;897827.0;404961.0;2.2376649
quicksort;9100;4.140045E7;2.0707049E7;49.08230482000001
quickselect;9200;918869.0;414964.0;2.2971215000000003
quicksort;9200;4.23154E7;2.1164599E7;50.745788439999984
quickselect;9300;908358.0;410726.0;2.2707543999999995
quicksort;9300;4.324035E7;2.1627149E7;51.44613508
quickselect;9400;937725.0;424022.0;2.39580034
quicksort;9400;4.41753E7;2.2094699E7;52.516695879999986
quickselect;9500;940144.0;425936.0;2.3542721800000006
quicksort;9500;4.512025E7;2.2567249E7;53.20217295999999
quickselect;9600;970914.0;439252.0;2.41429524
quicksort;9600;4.60752E7;2.3044799E7;54.44168784000001
quickselect;9700;947373.0;429618.0;2.37032488
quicksort;9700;4.704015E7;2.3527349E7;55.35576342000001
quickselect;9800;982783.0;444921.0;2.5071370800000006
quicksort;9800;4.80151E7;2.4014899E7;56.496219339999996
quickselect;9900;999256.0;450934.0;2.5100604000000004
quicksort;9900;4.900005E7;2.4507449E7;57.68421128000001
quickselect;10000;1016453.0;461546.0;2.55353598
quicksort;10000;4.9995E7;2.5004999E7;59.06090462
