type;n;comps;time
random;76000;29.8;223.66
beginning;77000;30.36;333.34
middle;77000;29.48;267.8
end;77000;29.6;233.26
missing;77000;34.0;95.94
random;77000;30.04;189.88
beginning;78000;30.12;329.42
middle;78000;29.48;256.4
end;78000;30.04;206.42
missing;78000;34.0;78.94
random;78000;29.84;173.36
beginning;79000;29.52;249.8
middle;79000;29.6;252.94
end;79000;29.16;172.88
missing;79000;34.0;95.64
random;79000;29.68;167.5
beginning;80000;29.64;331.22
middle;80000;30.16;262.28
end;80000;30.16;249.32
missing;80000;34.0;92.82
random;80000;30.04;190.76
beginning;81000;29.96;337.9
middle;81000;29.88;280.66
end;81000;28.92;295.22
missing;81000;34.0;124.06
random;81000;29.56;209.16
beginning;82000;30.04;223.84
middle;82000;29.36;195.02
end;82000;28.8;165.28
missing;82000;34.0;71.92
random;82000;29.2;163.6
beginning;83000;29.92;274.74
middle;83000;30.4;226.66
end;83000;28.96;172.66
missing;83000;34.0;71.3
random;83000;30.88;177.66
beginning;84000;29.4;306.58
middle;84000;29.4;249.34
end;84000;30.08;207.98
missing;84000;34.0;79.94
random;84000;30.12;171.54
beginning;85000;29.72;312.3
middle;85000;29.6;232.66
end;85000;30.56;275.96
missing;85000;34.0;76.58
random;85000;30.6;185.96
beginning;86000;29.44;256.32
middle;86000;29.68;222.52
end;86000;30.16;154.34
missing;86000;34.0;72.16
random;86000;30.4;169.7
beginning;87000;29.68;265.42
middle;87000;29.56;192.4
end;87000;30.32;153.14
missing;87000;34.0;63.32
random;87000;29.48;169.6
beginning;88000;30.6;219.48
middle;88000;30.56;173.7
end;88000;30.4;171.48
missing;88000;34.0;83.36
random;88000;29.88;167.12
beginning;89000;29.68;237.02
middle;89000;29.96;212.78
end;89000;30.32;174.8
missing;89000;34.0;88.3
random;89000;30.16;175.46
beginning;90000;29.44;241.96
middle;90000;29.92;239.42
end;90000;29.96;192.26
missing;90000;34.0;74.02
random;90000;29.68;172.3
beginning;91000;30.28;241.78
middle;91000;30.32;232.6
end;91000;30.44;159.12
missing;91000;34.0;93.84
random;91000;30.04;190.08
beginning;92000;30.12;285.58
middle;92000;30.4;232.26
end;92000;30.48;172.3
missing;92000;34.0;78.76
random;92000;29.8;180.3
beginning;93000;30.08;240.28
middle;93000;29.84;200.94
end;93000;29.04;179.4
missing;93000;34.0;89.14
random;93000;29.88;172.9
beginning;94000;30.16;312.24
middle;94000;30.64;238.82
end;94000;31.12;169.8
missing;94000;34.0;96.74
random;94000;30.36;170.96
beginning;95000;30.36;279.54
middle;95000;29.88;230.84
end;95000;30.2;234.46
missing;95000;34.0;84.72
random;95000;30.6;189.08
beginning;96000;29.48;292.78
middle;96000;29.96;230.18
end;96000;29.36;192.68
missing;96000;34.0;85.66
random;96000;29.52;169.66
beginning;97000;29.72;253.58
middle;97000;30.24;210.48
end;97000;30.44;157.16
missing;97000;34.0;71.88
random;97000;30.84;197.92
beginning;98000;30.2;276.14
middle;98000;30.36;183.3
end;98000;30.24;160.68
missing;98000;34.0;72.8
random;98000;29.64;180.12
beginning;99000;29.92;233.12
middle;99000;29.92;205.7
end;99000;30.24;179.86
missing;99000;34.0;63.9
random;99000;29.28;166.74
beginning;100000;30.76;215.02
middle;100000;30.68;214.54
end;100000;30.84;194.18
missing;100000;34.0;80.32
random;100000;29.56;176.3
