type;n;comps;swaps
randomSelect;13900;41434.42;21856.44
select;14000;132871.54;64483.68
randomSelect;14000;40859.1;21839.22
select;14100;134798.56;64785.28
randomSelect;14100;47154.72;22332.6
select;14200;133537.98;65021.94
randomSelect;14200;39553.22;19518.72
select;14300;133726.46;65612.68
randomSelect;14300;41510.82;21271.96
select;14400;136189.44;66134.2
randomSelect;14400;42161.42;21274.76
select;14500;137186.7;66732.88
randomSelect;14500;43616.9;20535.7
select;14600;136839.66;67395.1
randomSelect;14600;42464.58;20612.52
select;14700;138473.44;67166.08
randomSelect;14700;42039.56;19970.68
select;14800;139152.7;67871.32
randomSelect;14800;46332.22;23169.96
select;14900;138384.56;67999.48
randomSelect;14900;45263.04;22519.32
select;15000;140602.88;68790.38
randomSelect;15000;46030.5;20767.08
select;15100;143288.76;69327.9
randomSelect;15100;44902.78;22546.48
select;15200;144171.68;70082.24
randomSelect;15200;44022.4;21685.62
select;15300;144200.1;70452.76
randomSelect;15300;45983.0;23362.34
select;15400;144427.56;70401.56
randomSelect;15400;51366.96;24857.3
select;15500;147175.8;71373.16
randomSelect;15500;45234.16;22105.08
select;15600;147047.12;71965.18
randomSelect;15600;44870.72;24030.16
select;15700;148087.5;72197.76
randomSelect;15700;45488.78;22922.36
select;15800;149465.4;72634.54
randomSelect;15800;48897.2;23678.88
select;15900;148398.28;72889.4
randomSelect;15900;46112.98;23744.02
select;16000;150483.9;73296.04
randomSelect;16000;49910.86;26270.92
select;16100;152725.64;74269.3
randomSelect;16100;45669.92;23033.72
select;16200;151638.92;74450.46
randomSelect;16200;47605.98;24362.82
select;16300;153963.44;75235.06
randomSelect;16300;48692.3;25158.66
select;16400;153597.04;75121.88
randomSelect;16400;49042.26;25139.46
select;16500;155082.64;75937.4
randomSelect;16500;51773.52;26498.16
select;16600;156717.42;76679.82
randomSelect;16600;51167.7;24897.8
select;16700;157773.76;76741.22
randomSelect;16700;49428.02;24472.0
select;16800;155937.3;77118.28
randomSelect;16800;53511.98;28345.18
select;16900;158393.64;77934.18
randomSelect;16900;46244.68;22746.3
select;17000;160128.72;78167.56
randomSelect;17000;51803.04;25453.4
select;17100;159729.52;78450.48
randomSelect;17100;50738.42;24416.42
select;17200;161807.2;79155.38
randomSelect;17200;51290.68;25397.1
select;17300;161700.78;79764.1
randomSelect;17300;53610.46;26511.1
select;17400;163657.7;79939.66
randomSelect;17400;55630.08;28824.66
select;17500;164723.54;80318.18
randomSelect;17500;52488.44;26381.6
select;17600;164971.98;80860.66
randomSelect;17600;53654.12;26867.84
select;17700;166799.06;81677.42
randomSelect;17700;50448.82;26177.82
select;17800;167416.26;82237.76
randomSelect;17800;56292.48;26057.0
select;17900;168262.8;82502.58
randomSelect;17900;52637.18;28021.9
select;18000;168950.78;82933.06
randomSelect;18000;59767.78;30018.12
select;18100;170661.66;82965.14
randomSelect;18100;55911.6;27883.16
select;18200;172336.42;83808.5
randomSelect;18200;54309.2;27914.2
select;18300;171558.64;84387.08
randomSelect;18300;49525.12;23614.42
select;18400;173823.44;84428.04
randomSelect;18400;55136.92;25658.66
select;18500;174215.48;85249.02
randomSelect;18500;59070.34;27778.92
select;18600;175397.66;85805.66
randomSelect;18600;57293.3;28427.68
select;18700;177794.36;86393.42
randomSelect;18700;58081.62;28258.6
select;18800;178249.3;86280.74
randomSelect;18800;57302.84;28748.16
select;18900;176479.98;86534.3
randomSelect;18900;53237.28;27104.44
select;19000;177826.08;87851.58
randomSelect;19000;54210.72;27104.44
select;19100;180531.78;88113.64
randomSelect;19100;55355.22;29072.56
select;19200;180070.86;88229.44
randomSelect;19200;53767.88;27501.0
select;19300;183005.9;88787.08
randomSelect;19300;56191.94;30563.08
select;19400;183316.52;89375.28
randomSelect;19400;59555.22;29486.42
select;19500;181280.44;89630.62
randomSelect;19500;57455.94;28710.48
select;19600;181170.56;89195.68
randomSelect;19600;53321.2;27431.5
select;19700;187220.2;90488.32
randomSelect;19700;58380.26;28517.24
select;19800;184091.5;90430.66
randomSelect;19800;63668.24;32877.96
select;19900;187760.06;91783.48
randomSelect;19900;62708.02;31367.86
select;20000;189906.2;92570.34
randomSelect;20000;62598.7;32432.68
select;20100;188778.82;92990.04
randomSelect;20100;67093.48;33345.16
select;20200;191948.46;93149.0
randomSelect;20200;62797.8;32969.38
select;20300;191561.78;94212.2
randomSelect;20300;59804.02;29799.36
select;20400;193505.96;94059.46
randomSelect;20400;58266.72;28046.06
select;20500;192514.68;95045.12
randomSelect;20500;63039.56;33456.7
select;20600;196305.04;95182.3
randomSelect;20600;60603.16;30105.28
select;20700;194933.04;95594.96
randomSelect;20700;59094.8;29381.64
select;20800;197425.26;95913.44
randomSelect;20800;61016.66;28400.58
select;20900;199010.12;96824.14
randomSelect;20900;63205.42;33794.44
select;21000;196410.86;96896.32
randomSelect;21000;57354.14;31417.1
select;21100;199823.1;97623.34
randomSelect;21100;65712.16;30891.66
select;21200;200668.64;97947.02
randomSelect;21200;63227.74;31108.32
select;21300;202093.38;98222.46
randomSelect;21300;65293.74;32816.38
select;21400;200330.52;98633.2
randomSelect;21400;65802.44;32489.66
select;21500;202254.18;98518.56
randomSelect;21500;68333.52;34470.3
select;21600;201672.16;99114.62
randomSelect;21600;65858.52;35990.04
select;21700;206153.02;100199.3
randomSelect;21700;63855.78;30233.22
select;21800;206167.84;100555.42
randomSelect;21800;59449.1;27811.58
select;21900;206527.74;101065.04
randomSelect;21900;62416.52;30412.34
select;22000;210000.62;101790.8
randomSelect;22000;66493.22;35314.4
select;22100;207902.68;101962.4
randomSelect;22100;61169.3;32437.96
select;22200;209784.2;101938.52
randomSelect;22200;64927.98;33083.78
select;22300;214268.82;103362.48
randomSelect;22300;72785.14;36924.62
select;22400;211766.96;103447.4
