type;n;comps;swaps;time
select5;2100;18685.12;9301.36;0.07493239760398865
select7;2100;19303.94;10271.82;0.07183048367500305
select9;2100;20155.42;11510.74;0.06919781982898712
select3;2200;22088.32;10161.82;0.09185422062873841
select5;2200;19588.92;9723.94;0.08021778285503388
select7;2200;20010.44;10706.34;0.0760683810710907
select9;2200;21134.06;12104.06;0.07362935721874236
select3;2300;23211.64;10728.78;0.0959514182806015
select5;2300;20866.54;10238.52;0.08215798079967498
select7;2300;21031.6;11251.18;0.07779118001461029
select9;2300;22213.94;12676.12;0.07635900259017944
select3;2400;24391.6;11183.22;0.09735738217830658
select5;2400;21472.72;10576.02;0.08270352125167847
select7;2400;21803.12;11665.22;0.07850754022598266
select9;2400;23095.88;13192.3;0.07667297840118409
select3;2500;25278.56;11599.14;0.10155829966068268
select5;2500;22620.16;11080.7;0.08633308053016663
select7;2500;22801.24;12082.04;0.08233688056468963
select9;2500;24109.32;13776.6;0.08039932191371918
select3;2600;26162.34;12123.6;0.1022037410736084
select5;2600;23370.3;11530.54;0.08707693755626679
select7;2600;23739.4;12596.42;0.08261006295681
select9;2600;24918.9;14213.68;0.08104789972305299
select3;2700;26842.78;12422.68;0.10513069927692413
select5;2700;24422.32;11963.32;0.08998235821723938
select7;2700;24415.34;13090.0;0.0847171813249588
select9;2700;26073.7;14913.16;0.0836543995141983
select3;2800;28568.94;13072.12;0.11548361897468568
select5;2800;25247.94;12516.4;0.0967292195558548
select7;2800;25867.26;13659.74;0.09185849905014037
select9;2800;27138.48;15594.82;0.08954811990261077
select3;2900;29246.2;13545.04;0.11826451957225799
select5;2900;26101.78;12865.98;0.09954664051532745
select7;2900;26892.86;14150.34;0.094173863530159
select9;2900;28107.1;16099.92;0.09132888019084931
select3;3000;30651.16;14133.08;0.12373518109321595
select5;3000;27115.9;13296.78;0.10256989717483521
select7;3000;27443.18;14664.44;0.09732817947864532
select9;3000;28600.82;16432.0;0.09417766213417053
select3;3100;31327.52;14467.76;0.1269595992565155
select5;3100;27983.12;13703.3;0.1053185796737671
select7;3100;28388.32;15132.44;0.0999327427148819
select9;3100;29989.88;17093.88;0.0975101786851883
select3;3200;33120.48;15141.46;0.13346767961978911
select5;3200;29511.06;14291.7;0.11028397798538209
select7;3200;29309.58;15546.56;0.1032747232913971
select9;3200;30784.96;17614.26;0.1000777804851532
select3;3300;33759.34;15535.04;0.13354245960712433
select5;3300;30034.88;14702.08;0.11307669818401336
select7;3300;30489.98;16248.66;0.10628814220428467
select9;3300;31924.78;18355.44;0.1022468775510788
select3;3400;34401.3;15797.12;0.1309302806854248
select5;3400;31056.58;15134.02;0.11146750330924987
select7;3400;31405.32;16659.22;0.10663387656211853
select9;3400;32948.88;18882.44;0.10359387755393983
select3;3500;35384.92;16308.76;0.13451366126537323
select5;3500;32080.46;15593.0;0.11430969953536987
select7;3500;32047.18;16929.98;0.10853378236293793
select9;3500;33992.74;19310.38;0.1063595575094223
select3;3600;36871.22;16930.16;0.14049408137798308
select5;3600;32618.22;16082.76;0.1182942795753479
select7;3600;33220.4;17668.32;0.11328875720500946
select9;3600;35291.64;20030.68;0.11070240437984466
select3;3700;38228.9;17464.28;0.14452097952365875
select5;3700;33661.42;16534.28;0.12108950018882751
select7;3700;34112.96;18093.42;0.11592676043510437
select9;3700;35605.6;20460.78;0.1131571614742279
select3;3800;38729.96;17882.5;0.14819649934768678
select5;3800;34930.28;17052.04;0.12552520155906677
select7;3800;35127.9;18607.58;0.1185183584690094
select9;3800;37094.84;21075.46;0.11660310328006744
select3;3900;40212.82;18350.68;0.15229735910892486
select5;3900;35896.98;17485.4;0.12844289600849151
select7;3900;35745.46;19153.84;0.12199203848838806
select9;3900;38020.66;21637.14;0.11942858159542084
select3;4000;41017.98;18780.5;0.15434781968593597
select5;4000;36963.82;18096.2;0.1319936203956604
