type;n;comps;swaps;time
quickselect;7600;719453.42;309950.78;2.4395444
quicksort;7600;114405.0;62222.6;0.41487570000000007
quickselect;7700;730346.94;314525.2;2.4746805
quicksort;7700;115820.86;64841.48;0.4224127200000002
quickselect;7800;742325.04;319340.0;2.5054118599999997
quicksort;7800;117424.06;65267.7;0.42860474
quickselect;7900;752827.34;324554.22;2.5332152
quicksort;7900;118662.92;65184.46;0.4310665000000001
quickselect;8000;762880.18;327389.44;2.5744187999999997
quicksort;8000;120566.62;66756.28;0.44000464000000017
quickselect;8100;776860.2;334075.58;2.615259300000001
quicksort;8100;123576.22;68200.74;0.44661239999999985
quickselect;8200;788250.84;339146.56;2.64847938
quicksort;8200;124865.66;68678.66;0.45020477999999997
quickselect;8300;796508.94;343134.28;2.71711864
quicksort;8300;125908.46;70210.74;0.45863324
quickselect;8400;808443.24;346672.9;2.7155200800000006
quicksort;8400;128533.08;70444.24;0.4646869799999999
quickselect;8500;819117.56;351945.82;2.7561662200000008
quicksort;8500;129014.64;71699.46;0.4712239
quickselect;8600;830749.58;356293.54;2.78396914
quicksort;8600;132156.0;73046.7;0.47741005999999997
quickselect;8700;842197.84;362098.36;2.8225973800000004
quicksort;8700;133410.98;74496.18;0.4830177799999999
quickselect;8800;849913.42;364401.12;2.8524486799999993
quicksort;8800;133150.08;73836.2;0.4897670800000001
quickselect;8900;861287.0;370435.26;2.88948664
quicksort;8900;136721.44;75101.5;0.4940653
quickselect;9000;869012.04;372257.12;2.917710059999999
quicksort;9000;138998.92;77016.6;0.5006553400000001
quickselect;9100;881343.04;378839.14;2.9547813200000004
quicksort;9100;139263.62;76837.3;0.5064808400000002
quickselect;9200;891738.16;382469.3;2.98886058
quicksort;9200;144061.0;79353.76;0.5130714200000002
quickselect;9300;904101.34;387018.62;3.0375913799999994
quicksort;9300;142814.62;79182.38;0.5217274599999999
quickselect;9400;915106.8;392758.78;3.05221178
quicksort;9400;144581.68;80354.08;0.5257390399999998
quickselect;9500;926704.14;398415.8;3.1139632
quicksort;9500;146740.64;80449.12;0.5313926799999998
