type;n;k;comps;swaps
dual;36000;10;587369.5;318291.7
quick;36000;100;651480.69;353648.31
hybrid;36000;100;651022.79;339026.56
dual;36000;100;590801.12;323662.55
quick;37000;1;694124.0;369941.0
hybrid;37000;1;693622.0;354682.0
dual;37000;1;630530.0;309429.0
quick;37000;10;674006.5;366230.8
hybrid;37000;10;673579.8;351286.1
dual;37000;10;621977.5;328558.2
quick;37000;100;677294.52;368799.61
hybrid;37000;100;676847.29;353810.65
dual;37000;100;613255.61;329487.73
quick;38000;1;684300.0;393244.0
hybrid;38000;1;683786.0;377743.0
dual;38000;1;634126.0;368153.0
quick;38000;10;686971.8;371389.5
hybrid;38000;10;686460.1;355841.0
dual;38000;10;623723.3;341158.8
quick;38000;100;692943.37;376332.66
hybrid;38000;100;692469.8;360913.93
dual;38000;100;628105.57;339208.21
quick;39000;1;795410.0;475437.0
hybrid;39000;1;794815.0;459498.0
dual;39000;1;646069.0;330068.0
quick;39000;10;714998.9;380675.9
hybrid;39000;10;714517.7;364916.4
dual;39000;10;645699.4;352654.8
quick;39000;100;710237.01;386999.73
hybrid;39000;100;709756.46;371184.8
dual;39000;100;650423.89;353773.85
quick;40000;1;713095.0;403866.0
hybrid;40000;1;712664.0;387773.0
dual;40000;1;660662.0;373840.0
quick;40000;10;739749.4;408954.5
hybrid;40000;10;739263.0;392767.9
dual;40000;10;668159.9;358503.0
quick;40000;100;733890.76;400183.3
hybrid;40000;100;733381.68;383949.95
dual;40000;100;668941.18;359477.01
quick;41000;1;715074.0;417002.0
hybrid;41000;1;714793.0;400613.0
dual;41000;1;655102.0;339325.0
quick;41000;10;737997.6;393398.9
hybrid;41000;10;737506.7;376778.8
dual;41000;10;685723.2;373687.8
quick;41000;100;751881.8;407459.35
hybrid;41000;100;751367.93;390809.03
dual;41000;100;687439.27;369060.28
quick;42000;1;763376.0;426067.0
hybrid;42000;1;762914.0;409033.0
dual;42000;1;667159.0;382667.0
quick;42000;10;784471.1;416484.3
hybrid;42000;10;783945.6;399453.1
dual;42000;10;701865.8;376240.3
quick;42000;100;777495.44;421090.11
hybrid;42000;100;776983.09;404041.98
dual;42000;100;704209.24;379194.68
quick;43000;1;824533.0;418372.0
hybrid;43000;1;824046.0;400981.0
dual;43000;1;756519.0;387856.0
quick;43000;10;815336.4;439128.3
hybrid;43000;10;814843.9;421749.2
dual;43000;10;727432.5;386990.8
quick;43000;100;800461.35;432463.81
hybrid;43000;100;799919.17;414996.57
dual;43000;100;725118.13;393912.32
quick;44000;1;786679.0;429422.0
hybrid;44000;1;786159.0;411464.0
dual;44000;1;732015.0;395333.0
quick;44000;10;825004.5;453928.3
hybrid;44000;10;824412.3;436063.3
dual;44000;10;748990.5;392398.4
quick;44000;100;816373.47;442416.46
hybrid;44000;100;815818.12;424534.74
dual;44000;100;738607.96;399471.64
quick;45000;1;843275.0;465739.0
hybrid;45000;1;842610.0;447295.0
dual;45000;1;747943.0;390735.0
quick;45000;10;829834.1;441855.6
hybrid;45000;10;829285.1;423611.4
dual;45000;10;762943.6;407988.8
quick;45000;100;840540.61;455073.02
hybrid;45000;100;839979.98;436799.83
dual;45000;100;761805.85;413194.15
quick;46000;1;884322.0;498512.0
hybrid;46000;1;883746.0;479986.0
dual;46000;1;800222.0;418599.0
quick;46000;10;849059.5;460824.5
hybrid;46000;10;848477.8;442175.8
dual;46000;10;772372.2;417858.6
quick;46000;100;857488.41;463457.35
hybrid;46000;100;856921.72;444781.33
dual;46000;100;776951.87;421932.78
quick;47000;1;833724.0;449387.0
hybrid;47000;1;833048.0;430176.0
dual;47000;1;798879.0;424325.0
quick;47000;10;889027.9;481445.7
hybrid;47000;10;888400.2;462351.1
dual;47000;10;797376.8;440977.0
quick;47000;100;875170.94;473315.95
hybrid;47000;100;874579.31;454226.32
dual;47000;100;796559.12;433233.68
quick;48000;1;948948.0;485286.0
hybrid;48000;1;948458.0;466064.0
dual;48000;1;838840.0;432281.0
quick;48000;10;891789.2;482167.6
hybrid;48000;10;891218.2;462784.0
dual;48000;10;813060.1;439333.7
quick;48000;100;897671.36;485247.32
hybrid;48000;100;897034.34;465704.26
dual;48000;100;815496.12;438894.77
quick;49000;1;934923.0;481288.0
hybrid;49000;1;934322.0;461399.0
dual;49000;1;852603.0;432125.0
quick;49000;10;920754.2;501129.5
hybrid;49000;10;920062.2;481148.3
dual;49000;10;828947.2;447258.6
quick;49000;100;920877.18;499650.77
hybrid;49000;100;920241.77;479734.46
dual;49000;100;836435.4;449808.35
quick;50000;1;927082.0;493223.0
hybrid;50000;1;926649.0;473159.0
dual;50000;1;850986.0;446969.0
quick;50000;10;934746.8;513471.6
hybrid;50000;10;934101.2;493193.2
dual;50000;10;851307.8;465887.6
quick;50000;100;944625.53;510815.57
hybrid;50000;100;943995.09;490516.65
dual;50000;100;855038.57;461489.65
